detection_type,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,discovered,omega,star_distance,star_mass,star_radius,star_age,star_teff
Primary Transit,0.309,1.293,4.2180278,0.05069,0.123,88.48,2015,,470.0,0.976,1.041,8.2,5449.0
Primary Transit,0.819,1.009,2.7535953,0.03694,0.047,87.02,2015,,385.0,0.887,0.893,9.4,5131.0
Primary Transit,1.487,1.318,1.9616241,0.03159,0.134,86.2,2015,,719.0,1.093,1.209,4.67,5956.0
Primary Transit,0.76,0.944,3.799847,0.04117,0.074,87.04,2014,,135.8,0.645,0.617,3.9,4390.0
Primary Transit,0.582,1.182,3.5852467,0.04604,0.139,87.7,2015,,480.0,1.013,1.011,4.2,5808.0
Primary Transit,2.31,1.51,2.79083,0.0423,0.246,82.13,2015,,323.5,1.42,1.47,2.01,6566.0
Primary Transit,1.85,1.413,2.465295,0.0406,0.0,88.26,2015,,303.0,1.47,1.5,1.0,7500.0
Primary Transit,0.372,1.332,4.013837,0.04994,0.073,85.64,2020,,519.0,1.031,1.53,7.11,5931.0
Primary Transit,1.54,1.123,4.1419771,0.05064,0.03,85.18,2020,,267.3,1.0,1.1,7.3,5678.0
Primary Transit,1.06,1.252,2.788491,0.04079,0.0,86.75,2007,,340.0,1.163,1.137,1.7,5960.0
Primary Transit,0.574,1.631,4.7947813,0.06277,0.25,,2020,,235.4,1.435,2.197,2.765,6212.0
Primary Transit,1.057,0.899,1.90231289,0.0301,,83.62,2020,,343.2,1.004,0.938,2.6,5587.0
Primary Transit,0.761,1.073,2.6453235,0.03772,0.1,87.93,2020,,353.1,1.023,1.17,8.1,5629.0
Primary Transit,0.614,1.119,3.377728,0.04294,0.069,88.45,2020,,408.0,0.925,0.9661,9.0,5400.0
Primary Transit,0.58,1.703,4.007232,0.05387,,88.01,2020,,635.0,1.298,1.735,2.88,6457.0
Primary Transit,0.527,1.89,2.6054552,0.03951,0.3,84.2,2016,,841.0,1.212,1.86,5.46,5835.0
Primary Transit,0.783,1.59,2.972086,0.04363,0.0,86.2,2016,,927.0,1.255,1.881,4.66,6002.0
Primary Transit,0.34,2.085,4.8101088,0.06505,0.24,85.0,2017,172.0,371.686,1.292,2.648,1.24,6417.0
Primary Transit,0.724,1.072,2.29840551,0.02996,0.041,88.73,2020,,202.0,0.6785,0.67,11.1,4508.0
Primary Transit,3.58,1.676,4.7869491,0.06555,0.0,87.19,2019,,343.9,1.698,1.854,1.27,7724.0
Primary Transit,1.11,1.275,3.8529972,0.0494,0.0,84.6,2007,,200.0,1.29,1.46,2.3,6570.0
Primary Transit,6.78,1.87,2.74432452,0.04739,0.0,96.5,2019,,329.0,1.89,1.858,0.6,8450.0
Primary Transit,1.79,1.51,2.20473825,0.039,0.0,83.5,2008,,320.0,1.51,2.0,2.07,6259.0
Primary Transit,1.35,1.42,3.076318,0.0473,0.0,88.2,2008,,211.553,1.285,1.431,3.4,6401.79
Primary Transit,0.67,1.4,3.922814,0.053,0.0,86.5,2008,,480.0,1.28,1.32,1.6,6350.0
Primary Transit,0.526,0.969,3.312846,0.0449,0.5,87.79,2015,,496.0,1.1,1.105,3.3,5880.0
Primary Transit,0.85,1.609,3.619188,0.0507,0.34,88.31,2016,,944.603,1.06,1.462,7.7,5871.0
Primary Transit,2.38,0.692,3.142702,0.0441,0.085,82.7,2016,,512.41,1.16,1.17,2.36,6357.0
Primary Transit,0.543,1.212,3.0440499,0.04057,0.18,88.55,2015,,476.0,0.962,0.887,2.5,5523.0
Primary Transit,1.071,1.039,2.7667641,0.03815,0.142,88.83,2015,,513.0,0.967,0.933,4.9,5346.0
Primary Transit,2.17,1.105,1.74748753,0.02712,0.0,87.13,2014,,689.0,0.871,0.922,11.0,5311.0
Primary Transit,3.27,1.3,2.686502,0.03744,0.0,83.53,2015,,774.0,0.97,1.238,9.5,5738.0
Primary Transit,1.338,0.777,16.254611,0.1308,0.029,89.08,2016,354.0,339.0,1.131,1.091,2.1,5846.0
Primary Transit,1.98,1.337,0.8378434,0.01761,0.166,85.5,2016,,645.0,1.037,1.02,4.2,5600.0
Primary Transit,0.427,1.66,4.569673,0.0589,0.3,86.6,2016,44.0,780.0,1.303,1.74,3.94,5896.0
Primary Transit,1.855,1.302,3.446459,0.0444,0.12,85.6,2012,60.0,303.0,0.986,1.038,6.0,5870.0
Primary Transit,0.273,0.776,3.7992969,0.04619,0.5,87.16,2016,,454.0,0.91,0.892,6.4,5406.0
Primary Transit,0.332,1.123,3.5543973,0.04676,0.0,85.04,2016,,286.0,1.08,1.021,2.3,5695.0
Primary Transit,2.74,0.953,4.7228124,0.05025,0.079,87.96,2016,56.0,207.9,0.759,0.689,4.6,4803.0
Primary Transit,1.47,1.86,2.1605156,0.03397,0.114,81.02,2015,,747.0,1.121,1.199,4.2,5780.0
Primary Transit,2.44,1.487,1.3484954,0.02547,0.24,86.6,2016,,510.0,1.212,1.172,0.88,6346.0
Primary Transit,0.613,1.26,4.2986432,0.05163,0.088,86.93,2016,,466.0,0.994,1.107,7.5,5715.0
Primary Transit,0.65,1.75,3.3023881,0.04735,0.122,86.2,2016,,907.0,1.299,2.04,4.04,6071.0
Primary Transit,0.53,1.5,4.637038,0.0611,0.29,87.3,2016,,840.0,1.415,1.74,2.3,6438.0
Primary Transit,0.672,1.194,3.1810781,0.04131,0.101,86.17,2016,,521.0,0.929,0.922,6.2,5498.0
Primary Transit,0.653,1.251,4.6058749,0.05475,0.079,87.37,2016,,351.0,1.032,1.073,5.5,5670.0
Primary Transit,1.345,1.168,1.354133,0.023,0.0,87.2,2013,,360.0,0.882,0.898,9.7,5227.0
Primary Transit,0.706,1.175,3.1743516,0.04354,0.048,86.84,2016,,339.0,1.093,1.061,2.3,5943.0
Primary Transit,0.88,1.64,3.37796,0.0478,0.233,85.0,2016,,872.0,1.275,1.87,4.3,6050.0
Primary Transit,0.92,1.249,2.8126548,0.04024,0.471,87.1,2016,,839.0,1.099,1.097,3.5,5700.0
Primary Transit,1.192,1.23,2.5495551,0.03727,0.08,87.62,2016,,355.0,1.062,1.022,3.0,5659.0
Primary Transit,0.941,1.43,2.1061607,0.03166,0.0,82.28,2016,,532.0,0.955,0.98,7.7,5380.0
Primary Transit,1.222,1.464,1.8209933,0.03199,0.0,86.9,2016,,557.0,1.317,1.433,2.13,6300.0
Primary Transit,2.79,1.153,4.175186,0.0523,0.294,87.57,2018,,878.65,1.1,1.1,3.4,5950.0
Primary Transit,0.099,0.606,4.3315366,0.04913,0.345,89.33,2020,,211.1,0.843,0.877,11.46,5326.0
Primary Transit,0.074,0.614,4.375021,0.05036,0.122,87.21,2020,,347.7,0.89,1.105,11.89,5732.0
Primary Transit,0.63,1.57,4.5776348,0.06,0.275,84.98,2018,,773.0,1.379,1.621,2.06,6572.0
