detection_type,mass,radius,orbital_period,semi_major_axis,discovered,star_distance,star_mass,star_radius,star_teff
Primary Transit,0.0198,0.2132,13.673694,0.104,2023,32.22,0.798,0.788,5266.0
Primary Transit,0.02681,0.2543,20.519617,0.136,2023,32.22,0.798,0.788,5266.0
Primary Transit,0.0123,0.1731,30.793091,0.1785,2023,32.22,0.798,0.788,5266.0
Primary Transit,0.01586,0.232,41.05854,0.2163,2023,32.22,0.798,0.788,5266.0
Primary Transit,0.0264,0.23258,54.76992,0.262,2023,32.22,0.798,0.788,5266.0
Primary Transit,0.01432,0.1829,2.541,0.035,2021,106.3,0.997,0.968,5732.0
Primary Transit,8.0,1.0,109.75,0.5109,2022,95.06,1.47,1.49,6651.0
Primary Transit,0.7,0.49,372.0,,2024,108.415,1.248,1.198,6324.0
Primary Transit,0.01271,0.1169,1.62116,0.02732,2021,,,,
Primary Transit,0.415,1.026,11.53533,0.1097,2018,79.31,1.322,2.328,5528.0
Primary Transit,0.28,0.74,2.8758916,0.041,2005,78.9,1.3,1.497,6147.0
Primary Transit,0.0309,0.2721,11.6264,0.1049,2021,107.898,1.15,1.43,6310.0
Primary Transit,0.03043,0.5299,27.13,0.148,2021,107.898,1.15,1.43,6310.0
Primary Transit,,0.1998,10.924709,0.09,2023,45.5621,0.79,0.762,4757.0
Primary Transit,,0.2614,21.583298,0.141,2024,45.5621,0.79,0.762,4757.0
Primary Transit,3.195,1.095,21.2163979,0.1623,2007,78.24,1.275,1.508,6079.0
Primary Transit,0.0302,0.3149,17.471278,0.1334,2021,57.06,1.031,0.985,5788.0
Primary Transit,1.138,1.138,2.219,0.031,2005,19.3,0.8,0.805,4875.0
Primary Transit,0.0242,0.27541,15.507612,0.1236,2023,88.74,1.044,1.205,6088.0
Primary Transit,0.031,0.303,8.88029,0.078,2020,53.608,0.81,0.945,5427.0
Primary Transit,0.0227,0.2748,28.5805,0.17,2020,53.608,0.81,0.945,5427.0
Primary Transit,0.0182,0.2712,38.3525,0.207,2020,53.608,0.81,0.945,5427.0
Primary Transit,1.008,1.562,3.30896,0.0519,2018,147.2,1.703,2.614,6230.0
Primary Transit,0.02335,0.1534,0.926118,0.018,2022,63.38,0.9,1.13,5596.0
Primary Transit,0.0192,0.2007,6.441008,0.0629,2023,23.6382,0.8,0.769,4819.0
Primary Transit,0.05,0.22348,16.202157,0.1164,2021,28.25,0.801,0.779,5071.0
Primary Transit,0.02778,0.15568,1.008035,0.02012,2019,57.97,1.068,1.101,5978.0
Primary Transit,0.0249,0.24061,25.1292,0.1726,2024,79.0,1.09,1.044,5871.0
Primary Transit,0.01343,0.134,3.093292,0.037,2015,6.55,0.794,0.778,4699.0
Primary Transit,0.0522,0.4202,6.03607,0.06356,2018,94.4,0.92,1.03,5527.0
Primary Transit,0.1904,0.836,14.2767,0.1228,2019,95.075,1.212,2.943,5080.0
Primary Transit,0.00821,0.12151,4.040295,0.05727,2022,62.87,1.104,1.157,6210.0
Primary Transit,0.0208,0.20769,9.573083,0.1017,2022,62.87,1.104,1.157,6210.0
Primary Transit,0.0249,0.23258,47.42489,0.2958,2022,62.87,1.104,1.157,6210.0
Primary Transit,0.02618,0.16701,17.667087,0.1162,2018,39.1,0.75,0.73,
Primary Transit,0.01073,0.1668,29.79749,0.1646,2018,39.1,0.75,0.73,
Primary Transit,0.00173,0.0669,3.97664,0.04298,2019,39.1,0.75,0.73,
Primary Transit,0.00227,0.07298,7.90754,0.068,2022,39.1,0.75,0.73,
Primary Transit,0.00242,0.10144,12.1621839,,2019,39.1,0.75,0.73,
Primary Transit,9.077,,6134.4,6.248,2019,37.45,0.86,0.83,5160.0
Primary Transit,0.00673,0.1106,2.76953,0.02933,2022,9.9976,0.439,0.439,3803.0
Primary Transit,0.00972,0.13677,5.70588,0.04749,2022,9.9976,0.439,0.439,3803.0
Primary Transit,1.18,1.44,4.12692,0.0568,2018,197.98,1.44,1.57,6801.0
Primary Transit,0.058195,0.19618,22.89104,0.1357,2022,140.087,1.26,1.446,6120.0
Primary Transit,,0.3774,56.00819,0.308,2022,140.087,1.26,1.446,6120.0
Primary Transit,,0.2899,84.26,0.411,2022,140.087,1.26,1.446,6120.0
Primary Transit,,0.1749,106.0,0.4,2018,47.51,0.74,0.66,4655.0
Primary Transit,12.0,1.32,4.66632,0.0618,2023,124.0,1.447,1.55,7712.0
Primary Transit,0.0158,0.152,0.959624,0.0186,2016,47.36,0.94,0.87,5528.0
Primary Transit,0.0308,0.255,29.83832,0.1841,2016,47.36,0.94,0.87,5528.0
Primary Transit,0.244,0.867,18.71204,0.1436,2020,80.597,1.127,1.277,6089.0
Primary Transit,0.0245,0.2186,14.33902,0.12,2021,56.12,1.126,1.194,6203.0
Primary Transit,,0.331,29.04992,0.229,2022,267.74,1.89,1.751,8500.0
Primary Transit,0.0689,0.1945,7.1079477,0.0719,2020,22.42,0.99,0.912,5640.0
Primary Transit,0.0482,0.2427,20.54383,0.1458,2020,22.42,0.99,0.912,5640.0
Primary Transit,,0.09573,4.209075,0.0503,2024,22.42,0.99,0.912,5640.0
Primary Transit,0.033,0.2668,9.058807,0.083,2021,48.8,0.933,0.959,5534.0
Primary Transit,0.0349,0.259,21.4027,0.148,2021,48.8,0.933,0.959,5534.0
Primary Transit,2.988,,3549.4,4.691,2002,49.8,1.09,1.4507,5943.3
Primary Transit,5.131,,17071.8,12.688,2022,50.4093,0.93,0.935,5382.91
Primary Transit,0.039,0.256,15.604,0.1296,2018,35.24,1.378,1.43,6460.0
Primary Transit,0.0321,0.2489,6.398042,0.0604,2021,31.6,0.66,0.71,4511.0
Primary Transit,0.0302,0.2436,18.8805,0.1233,2021,31.6,0.66,0.71,4511.0
Primary Transit,1.15,,341.7,1.073,2014,68.7,1.41,3.3,4917.0
Primary Transit,5.6,,5040.0,6.5,2015,68.7,1.41,3.3,4917.0
Primary Transit,0.01762,0.144,0.719573,0.0166,2020,109.86,1.18,1.22,5950.0
